Kashtira,16,2.1%,Vanquish Soul,18,2.2%,Mannadium,33,2.2%,Dinosaur,20,2.5%,Branded,18,2.2%,Vaalmonica,31,2.4%,Kashtira,15,2.2%,Red Dragon Archfiend,17,2.1%,Fire King,33,2.7%,Mikanko,16,1.9%,Dinomorphia,17,2.3%,Ritual Beast,30,2.2%
Dinosaur,16,2.1%,Swordsoul,17,2.0%,Barrier Statue,30,2.0%,Mannadium,19,2.4%,Mannadium,17,2.0%,Barrier Statue,24,1.8%,Spright,13,1.9%,Spright,17,2.1%,Vanquish Soul,30,2.4%,Dinomorphia,13,1.5%,Fire King,17,2.3%,Fire King,29,2.1%
Barrier Statue,16,2.1%,HERO,15,1.8%,Floowandereeze,27,1.8%,Dinomorphia,18,2.3%,Infernoble Knight,17,2.0%,Horus,23,1.7%,Infernoble Knight,9,1.3%,Labrynth,15,1.9%,Spright,29,2.3%,Plant,13,1.5%,Branded,17,2.3%,Orcust,25,1.8%
Dragon Link,13,1.7%,Rescue-ACE,15,1.8%,Sky Striker,22,1.5%,Floowandereeze,13,1.6%,Kashtira,17,2.0%,Infernoble Knight,21,1.6%,Salamangreat,8,1.2%,Infernoble Knight,13,1.6%,Labrynth,28,2.3%,Rescue-ACE,11,1.3%,Live☆Twin,14,1.9%,Tearlaments,22,1.6%
Runick,13,1.7%,Mikanko,12,1.4%,Spright,21,1.4%,Swordsoul,13,1.6%,Naturia,14,1.7%,Salamangreat,21,1.6%,Vanquish Soul,8,1.2%,Purrely,13,1.6%,Runick,21,1.7%,Purrely,11,1.3%,Snake-Eye,12,1.6%,True Draco,20,1.5%
Plant,11,1.5%,Exosister,10,1.2%,Infernoble Knight,21,1.4%,Kashtira,13,1.6%,Live☆Twin,13,1.6%,Unchained,20,1.5%,Floowandereeze,8,1.2%,Chimera,13,1.6%,Purrely,21,1.7%,Infernoid,11,1.3%,Plant,11,1.5%,Dinomorphia,20,1.5%
Traptrix,11,1.5%,Synchron,10,1.2%,Mikanko,18,1.2%,HERO,13,1.6%,Floowandereeze,13,1.6%,Vanquish Soul,20,1.5%,Traptrix,7,1.0%,Pendulum Magician,12,1.5%,Floowandereeze,19,1.5%,Runick,10,1.2%,Scareclaw,11,1.5%,Melodious,19,1.4%
Exosister,10,1.3%,Traptrix,10,1.2%,Exosister,17,1.1%,Red Dragon Archfiend,11,1.4%,Memento,13,1.6%,Spright,18,1.4%,Pendulum Magician,7,1.0%,Vanquish Soul,12,1.5%,Snake-Eye,18,1.5%,Mannadium,10,1.2%,Spright,10,1.3%,Snake-Eye,18,1.3%
Nemleria,10,1.3%,Tech Genus,10,1.2%,HERO,16,1.1%,Naturia,10,1.3%,Paleozoic,13,1.6%,Swordsoul,17,1.3%,Dinomorphia,7,1.0%,Rescue-ACE,11,1.4%,Rescue-ACE,18,1.5%,Paleozoic,10,1.2%,Madolche,9,1.2%,Red Dragon Archfiend,15,1.1%
Endymion,8,1.1%,Evil Eye,9,1.1%,Evil Eye,15,1.0%,Exosister,9,1.1%,Swordsoul,12,1.4%,Floowandereeze,17,1.3%,Snake-Eye,7,1.0%,Scareclaw,10,1.2%,Traptrix,17,1.4%,Salamangreat,10,1.2%,Barrier Statue,9,1.2%,Plant,15,1.1%
Spright,8,1.1%,Phantom Knights,9,1.1%,Traptrix,15,1.0%,Plant,9,1.1%,Phantom Knights,12,1.4%,Dinomorphia,16,1.2%,Plant,6,0.9%,Kashtira,10,1.2%,Infernoble Knight,16,1.3%,Infernoble Knight,10,1.2%,Runick,7,0.9%,Traptrix,14,1.0%
HERO,8,1.1%,Ninja,9,1.1%,Synchron,15,1.0%,Barrier Statue,9,1.1%,Red Dragon Archfiend,12,1.4%,Galaxy Photon,15,1.1%,Ninja,6,0.9%,Ghoti,9,1.1%,Swordsoul,14,1.1%,Ancient Gear,9,1.0%,Red Dragon Archfiend,7,0.9%,Spright,14,1.0%
Floowandereeze,7,0.9%,Dinosaur,8,1.0%,Rescue-ACE,14,0.9%,Zoodiac,8,1.0%,Dinomorphia,10,1.2%,Mannadium,15,1.1%,Unchained,5,0.7%,Runick,8,1.0%,Red Dragon Archfiend,14,1.1%,Vaylantz,9,1.0%,Ice Barrier,7,0.9%,Marincess,13,1.0%
Evil Eye,7,0.9%,SPYRAL,7,0.8%,Dragon Link,13,0.9%,Superheavy Samurai,8,1.0%,HERO,10,1.2%,Naturia,15,1.1%,Vaalmonica,5,0.7%,Unchained,8,1.0%,Mikanko,13,1.1%,Spright,9,1.0%,Paleozoic,7,0.9%,Barrier Statue,12,0.9%
Ninja,7,0.9%,Sky Striker,7,0.8%,Prank-Kids,11,0.7%,Altergeist,7,0.9%,Thunder Dragon,10,1.2%,Live☆Twin,14,1.1%,Dinosaur,5,0.7%,Mikanko,8,1.0%,Ice Barrier,12,1.0%,Goblin Biker,8,0.9%,Raidraptor,7,0.9%,Salamangreat,11,0.8%
Naturia,7,0.9%,Live☆Twin,6,0.7%,Dinosaur,11,0.7%,Sky Striker,7,0.9%,Exosister,9,1.1%,Red Dragon Archfiend,13,1.0%,Naturia,5,0.7%,Plant,8,1.0%,Naturia,12,1.0%,Scareclaw,8,0.9%,Traptrix,7,0.9%,Dracoslayer,11,0.8%
Mikanko,7,0.9%,Runick,6,0.7%,Ninja,11,0.7%,Spright,6,0.8%,Barrier Statue,9,1.1%,HERO,13,1.0%,Sky Striker,5,0.7%,Mannadium,8,1.0%,Vaylantz,11,0.9%,Red Dragon Archfiend,7,0.8%,Mikanko,6,0.8%,Live☆Twin,11,0.8%
Bystial,6,0.8%,Scareclaw,6,0.7%,Unchained,11,0.7%,Synchron,6,0.8%,Orcust,9,1.1%,Endymion,13,1.0%,Endymion,5,0.7%,Endymion,7,0.9%,Live☆Twin,10,0.8%,Endymion,7,0.8%,Kashtira,6,0.8%,HERO,11,0.8%
Phantom Knights,6,0.8%,Dragon Link,5,0.6%,Phantom Knights,10,0.7%,Traptrix,6,0.8%,Mikanko,8,1.0%,Mikanko,13,1.0%,Memento,4,0.6%,HERO,7,0.9%,Sky Striker,10,0.8%,Ice Barrier,7,0.8%,Endymion,5,0.7%,Thunder Dragon,10,0.7%
Marincess,6,0.8%,Floowandereeze,5,0.6%,Live☆Twin,10,0.7%,Eldlich,6,0.8%,Spright,7,0.8%,Synchron,12,0.9%,Mannadium,4,0.6%,Naturia,7,0.9%,Paleozoic,10,0.8%,Pendulum Magician,7,0.8%,Sky Striker,5,0.7%,Dark Magician,10,0.7%
Speedroid,6,0.8%,Blackwings,5,0.6%,Tech Genus,10,0.7%,Ninja,6,0.8%,Plant,7,0.8%,Plant,11,0.8%,Horus,4,0.6%,Swordsoul,7,0.9%,Endymion,9,0.7%,Raidraptor,7,0.8%,Naturia,5,0.7%,Sky Striker,9,0.7%
Thunder Dragon,5,0.7%,Plunder Patroll,5,0.6%,Plant,10,0.7%,Endymion,6,0.8%,Eldlich,7,0.8%,Phantom Knights,11,0.8%,Magical Musket,4,0.6%,Salamangreat,6,0.8%,Pendulum Magician,9,0.7%,Live☆Twin,7,0.8%,Dragon Link,5,0.7%,Kashtira,9,0.7%
Eldlich,5,0.7%,Fur Hire,4,0.5%,Endymion,9,0.6%,Runick,6,0.8%,Dinosaur,7,0.8%,Dinosaur,10,0.8%,Live☆Twin,4,0.6%,Traptrix,6,0.8%,Lightsworn,9,0.7%,Vanquish Soul,7,0.8%,Lightsworn,5,0.7%,Paleozoic,9,0.7%
P.U.N.K.,4,0.5%,Vaylantz,4,0.5%,Chain Burn,9,0.6%,Galaxy Photon,5,0.6%,P.U.N.K.,7,0.8%,Paleozoic,10,0.8%,D/D/D,4,0.6%,Horus,6,0.8%,Raidraptor,9,0.7%,Synchron,6,0.7%,Vaylantz,5,0.7%,Bystial,8,0.6%
Synchron,4,0.5%,Orcust,4,0.5%,Lyrilusc,9,0.6%,Lyrilusc,5,0.6%,Traptrix,7,0.8%,Memento,10,0.8%,Phantom Knights,4,0.6%,Dragon Link,6,0.8%,Dinosaur,8,0.6%,Lightsworn,6,0.7%,Vanquish Soul,5,0.7%,Ninja,8,0.6%
Drytron,4,0.5%,Galaxy Photon,4,0.5%,Zoodiac,9,0.6%,Infernoble Knight,5,0.6%,Runick,7,0.8%,Evil Eye,9,0.7%,Dragon Link,3,0.4%,Ninja,6,0.8%,Scareclaw,7,0.6%,Naturia,6,0.7%,Dracoslayer,4,0.5%,Dragon Link,8,0.6%
Plunder Patroll,4,0.5%,Mayakashi,4,0.5%,Dogmatika,9,0.6%,Chain Burn,5,0.6%,Buster Blader,6,0.7%,Dragon Link,9,0.7%,Bystial,3,0.4%,Vaylantz,5,0.6%,Salamangreat,7,0.6%,Floowandereeze,6,0.7%,Purrely,4,0.5%,Vanquish Soul,8,0.6%
Prank-Kids,4,0.5%,Thunder Dragon,4,0.5%,Marincess,9,0.6%,Thunder Dragon,4,0.5%,Volcanic,6,0.7%,Marincess,9,0.7%,Zoodiac,3,0.4%,Synchron,5,0.6%,Phantom Knights,7,0.6%,HERO,5,0.6%,Dinosaur,4,0.5%,Scareclaw,8,0.6%
Lunalight,4,0.5%,Tellarknight,4,0.5%,SPYRAL,8,0.5%,Lunalight,4,0.5%,Galaxy Photon,5,0.6%,Runick,8,0.6%,Gishki,3,0.4%,Dinomorphia,5,0.6%,Chimera,7,0.6%,Kashtira,5,0.6%,D/D/D,4,0.5%,Supreme King Melodious,8,0.6%
Scareclaw,3,0.4%,Lyrilusc,4,0.5%,Scareclaw,8,0.5%,Phantom Knights,4,0.5%,Dragon Link,5,0.6%,Thunder Dragon,8,0.6%,Swordsoul,3,0.4%,Phantom Knights,5,0.6%,Ninja,6,0.5%,Traptrix,5,0.6%,Swordsoul,4,0.5%,Pendulum Magician,7,0.5%
Orcust,3,0.4%,Gold Pride,4,0.5%,Galaxy Photon,7,0.5%,Evil Eye,4,0.5%,Gravekeeper,5,0.6%,Exosister,8,0.6%,Tellarknight,3,0.4%,Sky Striker,4,0.5%,Ogdoadic,6,0.5%,Ogdoadic,4,0.5%,Goblin Biker,4,0.5%,Vaylantz,7,0.5%
Live☆Twin,3,0.4%,Zoodiac,3,0.4%,Odd-Eyes,7,0.5%,Tellarknight,4,0.5%,Bystial,5,0.6%,Chimera,8,0.6%,Runick,3,0.4%,Fur Hire,4,0.5%,Mannadium,6,0.5%,P.U.N.K.,4,0.5%,Mannadium,4,0.5%,Mikanko,7,0.5%
Zoodiac,3,0.4%,Blue-Eyes,3,0.4%,Burn,7,0.5%,Burn,4,0.5%,Scareclaw,5,0.6%,Gishki,7,0.5%,Neo-Spacian,3,0.4%,Lunalight,4,0.5%,Dinomorphia,6,0.5%,Unchained,4,0.5%,Pendulum Magician,4,0.5%,Shining Sarcophagus,7,0.5%
Ghoti,3,0.4%,Plant,3,0.4%,Earthbound,7,0.5%,Live☆Twin,3,0.4%,Dark World,5,0.6%,P.U.N.K.,7,0.5%,Exosister,3,0.4%,Evil Eye,4,0.5%,Genex,6,0.5%,Thunder Dragon,4,0.5%,Plunder Patroll,4,0.5%,Purrely,7,0.5%
Nordic,3,0.4%,Endymion,3,0.4%,Infernoid,6,0.4%,Speedroid,3,0.4%,Sky Striker,5,0.6%,SPYRAL,7,0.5%,Synchron,3,0.4%,Ogdoadic,4,0.5%,Bystial,6,0.5%,Dracoslayer,4,0.5%,Ancient Gear,4,0.5%,Dragoon,6,0.4%
Magikey,3,0.4%,Virtual World,3,0.4%,Thunder Dragon,6,0.4%,Paleozoic,3,0.4%,Synchron,4,0.5%,Superheavy Samurai,7,0.5%,SPYRAL,3,0.4%,Bystial,4,0.5%,Evil Eye,6,0.5%,Dinosaur,3,0.3%,HERO,4,0.5%,Unchained,6,0.4%
Purrely,3,0.4%,Salamangreat,3,0.4%,Nemleria,6,0.4%,Blue-Eyes,3,0.4%,Ninja,4,0.5%,Vaylantz,7,0.5%,Crystal Beast,3,0.4%,SPYRAL,4,0.5%,Exosister,5,0.4%,Swordsoul,3,0.3%,Thunder Dragon,4,0.5%,Infernoid,6,0.4%
Ancient Warriors,3,0.4%,Spright,3,0.4%,Naturia,6,0.4%,Abyss Actor,3,0.4%,SPYRAL,4,0.5%,Traptrix,6,0.5%,Scareclaw Tri-Brigade,3,0.4%,Snake-Eye,4,0.5%,Vaalmonica,5,0.4%,Zombies,3,0.3%,Shining Sarcophagus,4,0.5%,D/D/D,6,0.4%
Tellarknight,3,0.4%,Pendulum Magician,3,0.4%,Runick,6,0.4%,Vaylantz,3,0.4%,Evil Eye,3,0.4%,Scareclaw,6,0.5%,HERO,3,0.4%,Dinosaur,4,0.5%,D/D/D,5,0.4%,Galaxy Photon,3,0.3%,Infernoid,4,0.5%,Endymion,6,0.4%
SPYRAL,3,0.4%,Purrely,3,0.4%,Blackwings,5,0.3%,Volcanic,3,0.4%,Agents,3,0.4%,Volcanic,6,0.5%,Majespecter,3,0.4%,Zoodiac,4,0.5%,Generaider,5,0.4%,Snake-Eye,3,0.3%,Ninja,3,0.4%,Dinosaur,6,0.4%
Agents,3,0.4%,Dogmatika,3,0.4%,Plunder Patroll,5,0.3%,Drytron,3,0.4%,Endymion,3,0.4%,Machina,5,0.4%,Orcust,2,0.3%,Volcanic,3,0.4%,Thunder Dragon,5,0.4%,Madolche,3,0.3%,Horus,3,0.4%,Madolche,6,0.4%
Dracoslayer,3,0.4%,Naturia,3,0.4%,Drytron,5,0.3%,Generaider,2,0.3%,Melffy,3,0.4%,Ninja,5,0.4%,Evil Eye,2,0.3%,Vaalmonica,3,0.4%,HERO,4,0.3%,Fur Hire,3,0.3%,Vaalmonica,3,0.4%,Dogmatika,5,0.4%
Gladiator Beast Tri-Brigade,2,0.3%,Eldlich,3,0.4%,Generaider,5,0.3%,Neo-Spacian,2,0.3%,Tellarknight,3,0.4%,Orcust,5,0.4%,Scareclaw,2,0.3%,Live☆Twin,3,0.4%,Eldlich,4,0.3%,Mekk-Knights,3,0.3%,Phantom Knights,3,0.4%,Runick,5,0.4%
Rescue-ACE,2,0.3%,Speedroid,2,0.2%,Purrely,5,0.3%,Springans,2,0.3%,Blue-Eyes,3,0.4%,Madolche,5,0.4%,Machina,2,0.3%,D/D/D,3,0.4%,Burn,4,0.3%,Phantom Knights,3,0.3%,Synchron,3,0.4%,Ice Barrier,5,0.4%
Armed Dragon,2,0.3%,Dragonmaid,2,0.2%,Fur Hire,5,0.3%,Invoked Dogmatika,2,0.3%,Gold Pride,3,0.4%,Blackwings,5,0.4%,Melffy,2,0.3%,Blackwings,3,0.4%,Marincess,4,0.3%,Cyber Dragon,3,0.3%,Galaxy Photon,2,0.3%,Galaxy Photon,5,0.4%
Infernoble Knight,2,0.3%,Marincess,2,0.2%,Madolche,5,0.3%,Orcust,2,0.3%,Crystal Beast,2,0.2%,Fur Hire,4,0.3%,Lunalight,2,0.3%,Paleozoic,3,0.4%,Synchron,4,0.3%,Vaalmonica,3,0.3%,Live☆Twin Unchained,2,0.3%,Crystal Beast,5,0.4%
Numeron,2,0.3%,Dark Magician,2,0.2%,Agents,4,0.3%,Salamangreat,2,0.3%,D/D/D,2,0.2%,Tellarknight,4,0.3%,Chimera,2,0.3%,Plunder Patroll,3,0.4%,Orcust,3,0.2%,Marincess,3,0.3%,Rescue-ACE,2,0.3%,Dark World,5,0.4%
Galaxy Photon,2,0.3%,Raidraptor,2,0.2%,Orcust,4,0.3%,Odd-Eyes,2,0.3%,Dragunity,2,0.2%,Fluffal,4,0.3%,Mekk-Knights,2,0.3%,Dark Magician,3,0.4%,Zoodiac,3,0.2%,Chimera,3,0.3%,Rank 8 go 2nd,2,0.3%,Invoke,5,0.4%
Gravekeeper,2,0.3%,Ghoti,2,0.2%,Machina,4,0.3%,Blackwings,2,0.3%,PSY-Frame,2,0.2%,Infernoid,4,0.3%,Blue-Eyes,2,0.3%,Thunder Dragon,3,0.4%,P.U.N.K.,3,0.2%,Evil Eye,3,0.3%,Superheavy Samurai,2,0.3%,Mannadium,5,0.4%
Springans,2,0.3%,Therion,2,0.2%,Gold Pride,4,0.3%,Amazement,2,0.3%,Mayakashi,2,0.2%,Therion,4,0.3%,Prank-Kids,2,0.3%,Galaxy Photon,3,0.4%,Rank 8 go 2nd,3,0.2%,Dragon Link,3,0.3%,P.U.N.K.,2,0.3%,Lightsworn,5,0.4%
Mekk-Knights,2,0.3%,Agents,2,0.2%,Eldlich,4,0.3%,Ogdoadic,2,0.3%,Shark,2,0.2%,Burn,4,0.3%,Burn,2,0.3%,Numeron,2,0.2%,Stall,3,0.2%,D/D/D,3,0.3%,Salamangreat,2,0.3%,Phantom Knights,5,0.4%
Monarchs,2,0.3%,Lunalight,2,0.2%,Neo-Spacian,4,0.3%,Infernoid,2,0.3%,Odd-Eyes,2,0.2%,D/D/D,4,0.3%,Dracoslayer,2,0.3%,Infernity,2,0.2%,Dark Magician,3,0.2%,Horus,3,0.3%,Majespecter,2,0.3%,Floowandereeze,4,0.3%
Cyber Dragon,2,0.3%,Neo-Spacian,2,0.2%,Ghoti,4,0.3%,Gravekeeper,2,0.3%,Lair of Darkness,2,0.2%,Odd-Eyes,4,0.3%,Drytron,2,0.3%,Penguin,2,0.2%,SPYRAL,3,0.2%,Volcanic,2,0.2%,Dragunity,2,0.3%,Superheavy Samurai,4,0.3%
Exodia,2,0.3%,Gem-Knights,2,0.2%,Charmer,4,0.3%,PSY-Frame,2,0.3%,Umi,2,0.2%,Dark Magician,3,0.2%,Paleozoic,2,0.3%,Drytron,2,0.2%,Buster Blader,3,0.2%,Drytron,2,0.2%,Marincess,2,0.3%,Rescue-ACE,4,0.3%
Therion,2,0.3%,Rank 8 go 2nd,2,0.2%,Rank 8 go 2nd,4,0.3%,Crystal Beast,2,0.3%,Lunalight,2,0.2%,Tri-Brigade,3,0.2%,Thunder Dragon,2,0.3%,Memento,2,0.2%,Lunalight,3,0.2%,Dragunity,2,0.2%,Odd-Eyes,2,0.3%,Plunder Patroll,4,0.3%
Live☆Twin Dogmatika,1,0.1%,Gravekeeper,2,0.2%,P.U.N.K.,4,0.3%,Dark World,2,0.3%,Therion,2,0.2%,Dogmatika,3,0.2%,Mikanko,2,0.3%,Majespecter,2,0.2%,Exodia,3,0.2%,Ninja,2,0.2%,Ogdoadic,2,0.3%,Vaalmonica,4,0.3%
Buster Blader,1,0.1%,Machina,2,0.2%,Vaylantz,3,0.2%,Bystial,2,0.3%,Generaider,2,0.2%,Performapal,3,0.2%,Stall,2,0.3%,Exosister,2,0.2%,Fur Hire,3,0.2%,Subterror,2,0.2%,Floowandereeze,2,0.3%,SPYRAL,4,0.3%
Charmer,1,0.1%,Cyber Dragon,2,0.2%,Dragunity,3,0.2%,Evol,2,0.3%,Burn,2,0.2%,Melffy,3,0.2%,Eldlich,2,0.3%,Crystal Beast,2,0.2%,Galaxy Photon,3,0.2%,Sky Striker,2,0.2%,SPYRAL,2,0.3%,Swordsoul,4,0.3%
Branded Predaplant,1,0.1%,Melffy,2,0.2%,ABC,3,0.2%,Exodia,1,0.1%,Zoodiac,2,0.2%,Cyber Dragon,3,0.2%,Appliancer,2,0.3%,Lair of Darkness,2,0.2%,Melffy,3,0.2%,Majespecter,2,0.2%,Dogmatika,2,0.3%,P.U.N.K.,4,0.3%
Mayakashi,1,0.1%,Drytron,2,0.2%,Malefic,3,0.2%,Tri-Brigade,1,0.1%,Springans,2,0.2%,Predaplant,3,0.2%,Exodia,2,0.3%,Virtual World,2,0.2%,Infernoid,3,0.2%,Crystal Beast,2,0.2%,True Draco Monarchs,2,0.3%,Zoodiac,4,0.3%
Madolche,1,0.1%,Prank-Kids,2,0.2%,Tistina,3,0.2%,Live☆Twin Unchained,1,0.1%,Dracoslayer,2,0.2%,Neo-Spacian,3,0.2%,Dragonmaid,1,0.1%,Marincess,2,0.2%,Gold Pride,2,0.2%,Infernity,2,0.2%,Drytron,2,0.3%,Ancient Gear,4,0.3%
Trickstar,1,0.1%,Bystial,2,0.2%,Gravekeeper,3,0.2%,Shark,1,0.1%,Gishki,2,0.2%,Altergeist,3,0.2%,Armed Dragon,1,0.1%,Superheavy Samurai,2,0.2%,Time Thief,2,0.2%,Dogmatika,2,0.2%,Nemleria,2,0.3%,Generaider,3,0.2%
Dark Magician,1,0.1%,Infernoid,2,0.2%,Invoked Dogmatika,3,0.2%,Gishki,1,0.1%,Drytron,2,0.2%,Dark World,3,0.2%,Chain Burn,1,0.1%,Prank-Kids,2,0.2%,Unchained,2,0.2%,Eldlich,2,0.2%,Shaddoll,2,0.3%,Flame Swordsman,3,0.2%
Cyberse Combo,1,0.1%,Chain Burn,2,0.2%,Cyber Dragon,3,0.2%,Virtual World,1,0.1%,Neo-Spacian,2,0.2%,Umi,3,0.2%,Nouvelles,1,0.1%,Nouvelles,2,0.2%,Memento,2,0.2%,Plunder Patroll,2,0.2%,Exodia,2,0.3%,Synchron,3,0.2%
Toon,1,0.1%,Nemleria,2,0.2%,Lunalight,3,0.2%,Fluffal,1,0.1%,Dogmatika,2,0.2%,Lunalight,2,0.2%,Cyber Dragon,1,0.1%,Orcust,1,0.1%,Volcanic,2,0.2%,Melffy,1,0.1%,Cyber Dragon,1,0.1%,Odd-Eyes,3,0.2%
Invoked Thunder Dragon,1,0.1%,Lunalight Raidraptor,1,0.1%,Paleozoic,3,0.2%,Numeron,1,0.1%,Nouvelles,2,0.2%,Lyrilusc,2,0.2%,Predaplant,1,0.1%,Gishki,1,0.1%,Dracoslayer,2,0.2%,Mekk-Knight Crusadia,1,0.1%,Lyrilusc,1,0.1%,Charmer,3,0.2%
3-Axis,1,0.1%,Live☆Twin Dogmatika,1,0.1%,Mekk-Knights,2,0.1%,Star,1,0.1%,Marincess,1,0.1%,Magical Musket,2,0.2%,Magikey,1,0.1%,Time Thief,1,0.1%,Skull Servant,2,0.2%,Dark Magician,1,0.1%,Eldlich,1,0.1%,Amazement,3,0.2%
Phantom Knight Burning Abyss,1,0.1%,Dragon Ruler,1,0.1%,D/D/D,2,0.1%,Dragon Link,1,0.1%,Infernity,1,0.1%,Chain Burn,2,0.2%,Dream Mirror,1,0.1%,Dual Avatar,1,0.1%,Gaia,2,0.2%,Sacred Beast,1,0.1%,Blackwings,1,0.1%,Trickstar,3,0.2%
Dual Avatar,1,0.1%,Invoked P.U.N.K.,1,0.1%,Tellarknight,2,0.1%,Egyptian God,1,0.1%,Rokket,1,0.1%,Virtual World,2,0.2%,Time Thief,1,0.1%,P.U.N.K.,1,0.1%,Crystal Beast,2,0.2%,Zefra,1,0.1%,Spirits,1,0.1%,Raidraptor,3,0.2%
Dragon Ruler,1,0.1%,Malefic,1,0.1%,Live☆Twin Unchained,2,0.1%,Spellbook,1,0.1%,Dark Magician,1,0.1%,Nouvelles,2,0.2%,Ancient Warriors,1,0.1%,Ursarctic,1,0.1%,Dragunity,2,0.2%,Lunalight,1,0.1%,Dark Magician,1,0.1%,Ogdoadic,3,0.2%
Zoodiac Eldlich,1,0.1%,Magistus,1,0.1%,Umi,2,0.1%,Subterror,1,0.1%,Earthbound,1,0.1%,Egyptian God,2,0.2%,True Draco,1,0.1%,Chain Burn,1,0.1%,Horus,2,0.2%,Ojama,1,0.1%,Adamancipator,1,0.1%,Exosister,3,0.2%
Atlantean,1,0.1%,Performapal,1,0.1%,Blue-Eyes,2,0.1%,True Draco,1,0.1%,Nordic,1,0.1%,Solfachord,2,0.2%,Madolche,1,0.1%,Dracoslayer,1,0.1%,Prank-Kids,2,0.2%,Memento,1,0.1%,Exosister,1,0.1%,Eldlich,3,0.2%
Mermail Atlantean,1,0.1%,Altergeist,1,0.1%,Icejade,2,0.1%,Agents,1,0.1%,Cyberdark,1,0.1%,Toon,2,0.2%,Galaxy Photon,1,0.1%,Madolche,1,0.1%,Springans,2,0.2%,Lunalight Raidraptor,1,0.1%,Unchained,1,0.1%,Naturia,3,0.2%
