Centur-Ion,25,3.2%,Kashtira,23,2.3%,Branded,43,2.8%,Exodia,24,2.5%,Tenpai Dragon,29,3.1%,Mimighoul,42,2.9%,Voiceless Voice,19,2.2%,Voiceless Voice,20,2.0%,Voiceless Voice,30,2.8%,Mathmech,14,2.0%,Gem-Knights,23,3.0%,Lunalight,37,2.8%,Maliss,21,2.6%,Live☆Twin,23,2.5%,Sky Striker,50,3.2%
Labrynth,25,3.2%,Magical Musketeer,22,2.2%,Tearlaments,40,2.6%,Yubel,24,2.5%,White Forest,28,2.9%,Memento,41,2.8%,Barrier Statue,18,2.0%,Barrier Statue,20,2.0%,Barrier Statue,21,2.0%,Barrier Statue,13,1.9%,Branded,22,2.8%,Artmage,37,2.8%,Blue-Eyes,20,2.4%,Crystron,23,2.5%,White Forest,42,2.6%
Chimera,24,3.1%,Labrynth,22,2.2%,Barrier Statue,37,2.4%,White Forest,24,2.5%,Voiceless Voice,21,2.2%,White Forest,39,2.7%,Branded,17,1.9%,Six Samurai,18,1.8%,Fiendsmith,18,1.7%,Tearlaments,12,1.7%,Barrier Statue,17,2.2%,Sky Striker,34,2.5%,Sky Striker,18,2.2%,Snake-Eye,19,2.1%,Synchron,30,1.9%
Mathmech,23,3.0%,Bystial,20,2.0%,Voiceless Voice,36,2.3%,Voiceless Voice,23,2.4%,Yubel,21,2.2%,Ryu-Ge,33,2.3%,Centur-Ion,17,1.9%,Jurrac,17,1.7%,Mermail Atlantean,16,1.5%,Labrynth,11,1.6%,Tenpai Dragon,15,1.9%,Gem-Knights,32,2.4%,Tenpai Dragon,14,1.7%,Artmage,18,2.0%,Maliss,24,1.5%
Tearlaments,20,2.6%,Rescue-ACE,20,2.0%,Mathmech,34,2.2%,Kashtira,17,1.8%,Labrynth,17,1.8%,P.U.N.K.,28,1.9%,Snake-Eye,13,1.5%,Swordsoul,17,1.7%,Crystron,13,1.2%,Branded,11,1.6%,Monarchs,13,1.7%,Blue-Eyes,30,2.2%,Artmage,14,1.7%,K9,16,1.8%,Gem-Knights,23,1.5%
Melodious,13,1.7%,Barrier Statue,20,2.0%,Yubel,29,1.9%,Barrier Statue,16,1.6%,HERO,13,1.4%,Kashtira,26,1.8%,Tearlaments,13,1.5%,Mermail Atlantean,17,1.7%,Centur-Ion,13,1.2%,Ogdoadic,8,1.1%,Tearlaments,13,1.7%,Dragonmaid,18,1.3%,Onomat,12,1.5%,Synchron,15,1.7%,Magnet Warrior,21,1.3%
Ritual Beast,12,1.5%,Sky Striker,19,1.9%,Fiendsmith,26,1.7%,Fire King,16,1.6%,Tearlaments,12,1.3%,Voiceless Voice,25,1.7%,Swordsoul,12,1.4%,Fiendsmith,16,1.6%,Branded,13,1.2%,Voiceless Voice,8,1.1%,Unchained,12,1.5%,Labrynth,16,1.2%,Mikanko,10,1.2%,Dragoon,14,1.5%,Artmage,21,1.3%
Ninja,12,1.5%,Centur-Ion,17,1.7%,Chimera,23,1.5%,Shark,15,1.5%,Mathmech,11,1.2%,Spright,24,1.7%,Red Dragon Archfiend,12,1.4%,Branded,16,1.6%,Labrynth,12,1.1%,Centur-Ion,7,1.0%,Regenesis,11,1.4%,Fiendsmith,15,1.1%,Centur-Ion,10,1.2%,Dark Magician,13,1.4%,HERO,21,1.3%
Infernoble Knight,11,1.4%,Chimera,17,1.7%,Fire King,22,1.4%,Adamancipator,13,1.3%,Magical Musketeer,11,1.2%,Yubel,19,1.3%,Mathmech,12,1.4%,Labrynth,13,1.3%,Memento,12,1.1%,Fiendsmith,7,1.0%,Mathmech,10,1.3%,Fire King,15,1.1%,Megalith,10,1.2%,Sky Striker,13,1.4%,Blue-Eyes,21,1.3%
Dinomorphia,11,1.4%,Mathmech,16,1.6%,Bystial,21,1.4%,Infernoble Knight,13,1.3%,Kashtira,11,1.2%,Fire King,17,1.2%,Labrynth,10,1.1%,Phantasm Spiral,13,1.3%,Fire King,12,1.1%,Dragonmaid,7,1.0%,Mermail Atlantean,9,1.2%,Mathmech,13,1.0%,Gem-Knights,9,1.1%,Fire King,12,1.3%,D/D/D,19,1.2%
Spright,11,1.4%,Fiendsmith,15,1.5%,Dinomorphia,21,1.4%,Gimmick Puppet,13,1.3%,Shark,11,1.2%,Labrynth,16,1.1%,Fire King,10,1.1%,Fire King,12,1.2%,Traptrix,10,0.9%,Regenesis,7,1.0%,Dragonmaid,9,1.2%,Centur-Ion,12,0.9%,Monarchs,7,0.9%,Tearlaments,11,1.2%,K9,16,1.0%
Barrier Statue,9,1.2%,Fire King,15,1.5%,Centur-Ion,20,1.3%,Plant,12,1.2%,Infernoble Knight,11,1.2%,Gimmick Puppet,16,1.1%,Mimighoul,10,1.1%,Tearlaments,11,1.1%,White Forest,10,0.9%,Mermail Atlantean,6,0.9%,Labrynth,9,1.2%,Mermail Atlantean,10,0.7%,Fire King,7,0.9%,D/D/D,11,1.2%,Fire King,15,0.9%
Runick,9,1.2%,Gimmick Puppet,12,1.2%,ABC,18,1.2%,Sky Striker,12,1.2%,Melodious,11,1.2%,Red Dragon Archfiend,15,1.0%,Exodia,9,1.0%,Fabled,8,0.8%,Gimmick Puppet,9,0.8%,White Forest,5,0.7%,Fiendsmith,8,1.0%,Voiceless Voice,10,0.7%,Snake-Eye,6,0.7%,Maliss,8,0.9%,Live☆Twin,14,0.9%
Kashtira,9,1.2%,Infernoble Knight,11,1.1%,Magical Musketeer,18,1.2%,Tachyon,10,1.0%,Thunder Dragon,9,0.9%,Tearlaments,14,1.0%,Kashtira,9,1.0%,Exodia,8,0.8%,Exodia,9,0.8%,Tachyon,4,0.6%,Voiceless Voice,8,1.0%,Exodia,9,0.7%,Branded,6,0.7%,Centur-Ion,8,0.9%,Snake-Eye,14,0.9%
HERO,9,1.2%,HERO,11,1.1%,Sky Striker,16,1.0%,Ritual Beast,10,1.0%,Gimmick Puppet,8,0.8%,Exodia,13,0.9%,P.U.N.K.,9,1.0%,Ice Barrier,7,0.7%,Salamangreat,7,0.7%,Red Dragon Archfiend,4,0.6%,Fire King,6,0.8%,Branded,9,0.7%,Labrynth,6,0.7%,Blue-Eyes,8,0.9%,Crystron,14,0.9%
Thunder Dragon,9,1.2%,Purrely,9,0.9%,Infernoble Knight,15,1.0%,Dinomorphia,10,1.0%,Purrely,8,0.8%,Infernoble Knight,13,0.9%,Traptrix,8,0.9%,Mathmech,7,0.7%,Jurrac,7,0.7%,Yubel,4,0.6%,Crystron,6,0.8%,Unchained,9,0.7%,Mathmech,6,0.7%,Tenpai Dragon,8,0.9%,Dragoon,14,0.9%
Plant,8,1.0%,Dinomorphia,8,0.8%,Red Dragon Archfiend,15,1.0%,Goblin Biker,10,1.0%,Live☆Twin,8,0.8%,Mathmech,13,0.9%,Pendulum,8,0.9%,Synchron,7,0.7%,Magistus,7,0.7%,Traptrix,4,0.6%,Centur-Ion,6,0.8%,Crystron,7,0.5%,Dinosaur,6,0.7%,Gem-Knights,7,0.8%,Tenpai Dragon,13,0.8%
Snake-Eye,8,1.0%,Pendulum,8,0.8%,Vanquish Soul,13,0.8%,Mathmech,9,0.9%,Tachyon,8,0.8%,Materiactor,13,0.9%,Shark,7,0.8%,Yubel,6,0.6%,Snake-Eye,6,0.6%,Dinomorphia,4,0.6%,Jurrac,6,0.8%,Argostars,7,0.5%,Memento,5,0.6%,Branded,7,0.8%,Dark Magician,13,0.8%
Traptrix,8,1.0%,Thunder Dragon,8,0.8%,Rescue-ACE,13,0.8%,Bystial,9,0.9%,Bystial,8,0.8%,Live☆Twin,11,0.8%,Ice Barrier,7,0.8%,Traptrix,6,0.6%,HERO,6,0.6%,Shining Sarcophagus,4,0.6%,Infernoble Knight,6,0.8%,Monarchs,7,0.5%,Dragonmaid,5,0.6%,Cyber Dragon,7,0.8%,Tearlaments,12,0.8%
Red Dragon Archfiend,8,1.0%,Phantom Knights,7,0.7%,Traptrix,12,0.8%,Dragon Link,9,0.9%,Exodia,8,0.8%,HERO,11,0.8%,Chimera,6,0.7%,Snake-Eye,6,0.6%,Tachyon,5,0.5%,Kashtira,4,0.6%,Yubel,5,0.6%,Cyber Dragon,6,0.4%,Fiendsmith,5,0.6%,Memento,7,0.8%,Dragon Link,10,0.6%
Pendulum,8,1.0%,Ritual Beast,7,0.7%,Melodious,12,0.8%,Chimera,9,0.9%,Plant,8,0.8%,Melodious,10,0.7%,Plant,6,0.7%,Memento,6,0.6%,Melodious,5,0.5%,Sky Striker,4,0.6%,Plant,5,0.6%,HERO,6,0.4%,Mimighoul,5,0.6%,Ogdoadic,6,0.7%,Mikanko,9,0.6%
Orcust,8,1.0%,Orcust,7,0.7%,Ritual Beast,11,0.7%,Thunder Dragon,8,0.8%,Argostars,8,0.8%,Unchained,10,0.7%,Gimmick Puppet,5,0.6%,Sky Striker,5,0.5%,Kashtira,5,0.5%,HERO,3,0.4%,Cyber Dragon,5,0.6%,Kashtira,6,0.4%,Jurrac,4,0.5%,Monarchs,6,0.7%,DoomZ,9,0.6%
Purrely,7,0.9%,Plant,7,0.7%,Salamangreat,11,0.7%,Traptrix,8,0.8%,Red Dragon Archfiend,7,0.7%,Ancient Gear,10,0.7%,Dragon Link,5,0.6%,Bystial,5,0.5%,Sky Striker,5,0.5%,Argostars,3,0.4%,Red Dragon Archfiend,5,0.6%,Thunder Dragon,6,0.4%,Barrier Statue,4,0.5%,HERO,5,0.6%,Rokket,9,0.6%
Dragon Link,7,0.9%,Drytron,6,0.6%,Pendulum,10,0.6%,Ancient Gear,8,0.8%,Barrier Statue,7,0.7%,Salamangreat,9,0.6%,Unchained,5,0.6%,Salamangreat,5,0.5%,Spright,5,0.5%,Vaylantz,3,0.4%,Dark Magician,5,0.6%,Tearlaments,6,0.4%,Unchained,4,0.5%,Thunder Dragon,5,0.6%,Exodia,9,0.6%
Scareclaw,6,0.8%,Ninja,6,0.6%,Gimmick Puppet,10,0.6%,Tearlaments,7,0.7%,Fire King,7,0.7%,Dinosaur,9,0.6%,Dinosaur,5,0.6%,HERO,5,0.5%,Vaylantz,5,0.5%,Melodious,3,0.4%,Mimighoul,4,0.5%,Red Dragon Archfiend,5,0.4%,Tearlaments,4,0.5%,Barrier Statue,4,0.4%,Unchained,8,0.5%
Ashened,6,0.8%,Vaalmonica,6,0.6%,Runick,10,0.6%,Red Dragon Archfiend,7,0.7%,Raidraptor,6,0.6%,Sky Striker,9,0.6%,Yubel,5,0.6%,Ancient Gear,4,0.4%,Live☆Twin,5,0.5%,Raidraptor,3,0.4%,Exodia,4,0.5%,Super Quant,5,0.4%,Argostars,4,0.5%,Super Quant,4,0.4%,Mermail Atlantean,8,0.5%
Live☆Twin,5,0.6%,Raidraptor,6,0.6%,HERO,9,0.6%,Dark Magician,7,0.7%,Dinomorphia,6,0.6%,Chimera,9,0.6%,HERO,5,0.6%,Blackwings,4,0.4%,Ancient Gear,5,0.5%,Memento,3,0.4%,Psychics,4,0.5%,Barrier Statue,5,0.4%,HERO,4,0.5%,Dragon Link,4,0.4%,Branded,8,0.5%
Marincess,5,0.6%,Floowandereeze,6,0.6%,Spright,9,0.6%,Magical Musketeer,7,0.7%,Chimera,6,0.6%,Traptrix,9,0.6%,Salamangreat,5,0.6%,Plant,4,0.4%,Infernoble Knight,4,0.4%,Exodia,3,0.4%,Super Quant,4,0.5%,Jurrac,5,0.4%,Yubel,4,0.5%,P.U.N.K.,4,0.4%,Mathmech,7,0.4%
Bystial,5,0.6%,Red Dragon Archfiend,5,0.5%,Orcust,9,0.6%,HERO,7,0.7%,Ancient Gear,6,0.6%,Dragon Link,9,0.6%,Sky Striker,5,0.6%,Nemleria,4,0.4%,D/D/D,4,0.4%,Crystron,3,0.4%,Memento,4,0.5%,Plant,5,0.4%,Purrely,4,0.5%,Onomat,3,0.3%,Ice Barrier,7,0.4%
Sky Striker,5,0.6%,Spright,5,0.5%,Ancient Gear,8,0.5%,Melodious,6,0.6%,Sky Striker,6,0.6%,Shark,8,0.6%,Spright,5,0.6%,Floowandereeze,4,0.4%,Six Samurai,4,0.4%,Purrely,3,0.4%,Tachyon,4,0.5%,Traptrix,5,0.4%,Kashtira,3,0.4%,Unchained,3,0.3%,Mimighoul,7,0.4%
True Draco,5,0.6%,Unchained,5,0.5%,Thunder Dragon,8,0.5%,Naturia,6,0.6%,Unchained,5,0.5%,Thunder Dragon,8,0.6%,Purrely,4,0.5%,Melodious,4,0.4%,Red Dragon Archfiend,4,0.4%,Dragon Ruler,3,0.4%,Thunder Dragon,4,0.5%,Magistus,5,0.4%,Mermail Atlantean,3,0.4%,Fiendsmith,3,0.3%,Labrynth,7,0.4%
Dark Magician,5,0.6%,Melodious,5,0.5%,Scareclaw,8,0.5%,Vaalmonica,6,0.6%,Spright,5,0.5%,Plant,8,0.6%,Melodious,4,0.5%,Ghoti,4,0.4%,Mikanko,4,0.4%,Phantasm Spiral,2,0.3%,HERO,3,0.4%,Infernoble Knight,5,0.4%,Ogdoadic,3,0.4%,Raidraptor,3,0.3%,Dinosaur,7,0.4%
Ice Barrier,5,0.6%,Ancient Gear,5,0.5%,Raidraptor,8,0.5%,Phantasm Spiral,6,0.6%,Goblin Biker,5,0.5%,Argostars,7,0.5%,Ryu-Ge,4,0.5%,Live☆Twin,4,0.4%,Chimera,4,0.4%,Crystal Beast,2,0.3%,Tistina,3,0.4%,Psychics,5,0.4%,Floowandereeze,3,0.4%,Voiceless Voice,3,0.3%,Super Quant,7,0.4%
Salamangreat,5,0.6%,Live☆Twin,5,0.5%,Ice Barrier,8,0.5%,Raidraptor,5,0.5%,Salamangreat,4,0.4%,Ritual Beast,7,0.5%,Dark Magician,4,0.5%,Unchained,4,0.4%,Vanquish Soul,4,0.4%,Dark Magician,2,0.3%,Ryu-Ge,3,0.4%,D/D/D,5,0.4%,Voiceless Voice,3,0.4%,Endymion,3,0.3%,Jurrac,6,0.4%
Raidraptor,5,0.6%,Dragon Link,5,0.5%,Floowandereeze,8,0.5%,Spright,5,0.5%,Runick,4,0.4%,Pendulum,7,0.5%,Floowandereeze,4,0.5%,Magical Musketeer,3,0.3%,Crystal Beast,3,0.3%,Snake-Eye,2,0.3%,Argostars,3,0.4%,P.U.N.K.,4,0.3%,Cyber Dragon,3,0.4%,Exodia,3,0.3%,Infernoble Knight,6,0.4%
Ancient Gear,4,0.5%,Salamangreat,5,0.5%,Naturia,7,0.5%,Salamangreat,5,0.5%,Rescue-ACE,4,0.4%,Tachyon,7,0.5%,Ancient Gear,4,0.5%,Shark,3,0.3%,Ice Barrier,3,0.3%,Scareclaw,2,0.3%,Morganite,3,0.4%,Phantasm Spiral,4,0.3%,Red Dragon Archfiend,3,0.4%,Rokket,3,0.3%,P.U.N.K.,6,0.4%
Dracoslayer,4,0.5%,Scareclaw,4,0.4%,Dragon Link,7,0.5%,Pendulum,4,0.4%,Mikanko,4,0.4%,Vaalmonica,7,0.5%,Dinomorphia,4,0.5%,Tachyon,3,0.3%,Madolche,3,0.3%,Spright,2,0.3%,Ogdoadic,3,0.4%,Melodious,4,0.3%,Infernoble Knight,3,0.4%,Mermail Atlantean,3,0.3%,Memento,6,0.4%
Mannadium,4,0.5%,Ghoti,4,0.4%,Purrely,7,0.5%,Purrely,4,0.4%,Scareclaw,4,0.4%,Purrely,7,0.5%,Vanquish Soul,3,0.3%,P.U.N.K.,3,0.3%,Scareclaw,3,0.3%,Vaalmonica,2,0.3%,Magistus,3,0.4%,Dinosaur,4,0.3%,Spright,2,0.2%,Shark,3,0.3%,Barrier Statue,5,0.3%
Naturia,4,0.5%,Traptrix,4,0.4%,Vaalmonica,7,0.5%,Allure Queen,4,0.4%,Vaylantz,3,0.3%,Ninja,7,0.5%,Galaxy Photon,3,0.3%,Speedroid,3,0.3%,Pendulum,3,0.3%,Morganite,2,0.3%,Nouvelles,3,0.4%,Goblin Biker,3,0.2%,Phantom Knights,2,0.2%,Labrynth,3,0.3%,Thunder Dragon,5,0.3%
Endymion,4,0.5%,Crystal Beast,3,0.3%,Red-Eyes,7,0.5%,Ice Barrier,4,0.4%,Evil Eye,3,0.3%,Barrier Statue,7,0.5%,Battlewasp,3,0.3%,Dinomorphia,3,0.3%,Thunder Dragon,3,0.3%,Nouvelles,2,0.3%,Evil Eye,2,0.3%,Gimmick Puppet,3,0.2%,Chimera,2,0.2%,Jurrac,3,0.3%,Kashtira,5,0.3%
Generaider,4,0.5%,Endymion,3,0.3%,Plant,6,0.4%,Red-Eyes,4,0.4%,Vaalmonica,3,0.3%,Dinomorphia,7,0.5%,Live☆Twin,3,0.3%,Endymion,3,0.3%,Ryu-Ge,3,0.3%,Magistus,2,0.3%,Traptrix,2,0.3%,Yubel,3,0.2%,Dogmatika,2,0.2%,Mikanko,3,0.3%,Speedroid,5,0.3%
Odd-Eyes,4,0.5%,Marincess,3,0.3%,Unchained,6,0.4%,Unchained,4,0.4%,Adamancipator,3,0.3%,Scareclaw,6,0.4%,True Draco,3,0.3%,Goblin Biker,3,0.3%,Shark,3,0.3%,Plant,2,0.3%,Six Samurai,2,0.3%,Ryzeal,3,0.2%,Super Quant,2,0.2%,Dinomorphia,3,0.3%,Cyber Dragon,5,0.3%
Paleozoic,4,0.5%,True Draco,3,0.3%,Live☆Twin,6,0.4%,ABC,4,0.4%,Drytron,3,0.3%,Rescue-ACE,6,0.4%,Tellarknight,3,0.3%,Dinosaur,3,0.3%,Mannadium,3,0.3%,Live☆Twin,2,0.3%,Raidraptor,2,0.3%,Spright,3,0.2%,Dinomorphia,2,0.2%,Yubel,3,0.3%,Onomat,5,0.3%
Rescue-ACE,4,0.5%,Weather Painter,3,0.3%,Madolche,6,0.4%,Endymion,4,0.4%,Dragon Link,3,0.3%,D/D/D,5,0.3%,Horus,3,0.3%,Tech Genus,3,0.3%,Dinomorphia,3,0.3%,Six Samurai,2,0.3%,Infernoid,2,0.3%,Purrely,3,0.2%,Plunder Patroll,2,0.2%,Gimmick Puppet,3,0.3%,Centur-Ion,5,0.3%
Vanquish Soul,4,0.5%,Runick,3,0.3%,Umi,6,0.4%,Vanquish Soul,3,0.3%,Endymion,3,0.3%,Arcana Force,5,0.3%,Goblin Biker,3,0.3%,Infernoble Knight,3,0.3%,Yubel,3,0.3%,Infernoble Knight,2,0.3%,Trickstar,2,0.3%,Raidraptor,2,0.1%,Thunder Dragon,2,0.2%,Dinosaur,3,0.3%,Voiceless Voice,5,0.3%
Lunalight,3,0.4%,Superheavy Samurai,3,0.3%,Exosister,6,0.4%,Rescue-ACE,3,0.3%,Ninja,3,0.3%,Raidraptor,5,0.3%,Thunder Dragon,3,0.3%,Kashtira,3,0.3%,Red-Eyes,3,0.3%,Salamangreat,2,0.3%,Vaylantz,2,0.3%,Drytron,2,0.1%,SPYRAL,2,0.2%,Drytron,2,0.2%,Traptrix,4,0.3%
Dark World,3,0.4%,Naturia,3,0.3%,Zoodiac,5,0.3%,Marincess,3,0.3%,Horus,3,0.3%,Metalmorph,5,0.3%,Phantom Knights,3,0.3%,Dark Magician,3,0.3%,P.U.N.K.,3,0.3%,D/D/D,2,0.3%,Spright,2,0.3%,Salamangreat,2,0.1%,Tachyon,2,0.2%,Lightsworn,2,0.2%,Dragonmaid,4,0.3%
Vaylantz,3,0.4%,Synchron,3,0.3%,Mikanko,5,0.3%,Floowandereeze,3,0.3%,Lightsworn,3,0.3%,Bystial,5,0.3%,Argostars,2,0.2%,Purrely,2,0.2%,Plant,3,0.3%,Tistina,2,0.3%,Scareclaw,2,0.3%,Tachyon,2,0.1%,Vaalmonica,2,0.2%,Red Dragon Archfiend,2,0.2%,/Assault Mode,4,0.3%
Swordsoul,3,0.4%,Dark Magician,3,0.3%,True Draco,4,0.3%,Harpies,3,0.3%,Metalmorph,3,0.3%,Ice Barrier,5,0.3%,Lightsworn,2,0.2%,Ryu-Ge,2,0.2%,Raidraptor,3,0.3%,Drytron,2,0.3%,Snake-Eye,2,0.3%,Nordic,2,0.1%,Buster Blader,2,0.2%,Allure Queen,2,0.2%,Melodious,4,0.3%
Trickstar,3,0.4%,Horus,3,0.3%,Phantom Knights,4,0.3%,Infernoid,3,0.3%,Ritual Beast,3,0.3%,Phantom Knights,4,0.3%,Endymion,2,0.2%,Galaxy Photon,2,0.2%,Floowandereeze,2,0.2%,Gimmick Puppet,2,0.3%,Dinomorphia,2,0.3%,Regenesis,2,0.1%,Regenesis,2,0.2%,Regenesis,2,0.2%,Solfachord,4,0.3%
Plunder Patroll,3,0.4%,Ice Barrier,3,0.3%,Lightsworn,4,0.3%,Paleozoic,3,0.3%,PSY-Frame,2,0.2%,Magical Musketeer,4,0.3%,Vaylantz,2,0.2%,True Draco,2,0.2%,Adamancipator,2,0.2%,Lightsworn,1,0.1%,Chimera,2,0.3%,Adventure,2,0.1%,Exodia,2,0.2%,Ice Barrier,2,0.2%,Endymion,3,0.2%
Floowandereeze,3,0.4%,Vanquish Soul,3,0.3%,Endymion,4,0.3%,Live☆Twin,3,0.3%,Harpies,2,0.2%,Runick,4,0.3%,Dracoslayer,2,0.2%,Pendulum,2,0.2%,Eldlich,2,0.2%,Jurrac,1,0.1%,Melodious,2,0.3%,Dark Magician,2,0.1%,Scareclaw,2,0.2%,Red-Eyes,2,0.2%,Spright,3,0.2%
Dinosaur,3,0.4%,Dinosaur,3,0.3%,Dracoslayer,4,0.3%,Rank 8 go 2nd,3,0.3%,D/D/D,2,0.2%,Floowandereeze,4,0.3%,Mikanko,2,0.2%,D/D/D,2,0.2%,Generaider,2,0.2%,Mayakashi,1,0.1%,Vanquish Soul,2,0.3%,Floowandereeze,2,0.1%,Ancient Gear,1,0.1%,SPYRAL,2,0.2%,Vaalmonica,3,0.2%
Vaalmonica,3,0.4%,Galaxy Photon,2,0.2%,Stall,4,0.3%,Phantom Knights,2,0.2%,Vanquish Soul,2,0.2%,Vanquish Soul,4,0.3%,D/D/D,2,0.2%,Gimmick Puppet,2,0.2%,Rank 8 go 2nd,2,0.2%,Crusadia,1,0.1%,D/D/D,2,0.3%,Snake-Eye,2,0.1%,Rescue-ACE,1,0.1%,Solfachord,2,0.2%,Banquet FTK,3,0.2%
Synchron,3,0.4%,Zoodiac,2,0.2%,Infernoid,4,0.3%,Runick,2,0.2%,Melffy,2,0.2%,Orcust,4,0.3%,Runick,2,0.2%,Thunder Dragon,2,0.2%,Paleozoic,2,0.2%,Unchained,1,0.1%,Mikanko,2,0.3%,Red-Eyes,2,0.1%,Drytron,1,0.1%,Ancient Gear,2,0.2%,Regenesis,3,0.2%
Tech Genus,3,0.4%,Blackwings,2,0.2%,Lunalight,4,0.3%,Evilswarm,2,0.2%,Phantom Knights,2,0.2%,Crystal Beast,4,0.3%,Drytron,2,0.2%,Ninja,2,0.2%,Dinosaur,2,0.2%,Infernity,1,0.1%,Libromancer,2,0.3%,Ryu-Ge,2,0.1%,Generaider,1,0.1%,Primite,2,0.2%,Gouki,3,0.2%
Zoodiac,2,0.3%,Evil Eye,2,0.2%,Swordsoul,4,0.3%,Exosister,2,0.2%,Crystal Beast,2,0.2%,Egyptian God,4,0.3%,Harpies,2,0.2%,Dragon Link,2,0.2%,Dragon Link,2,0.2%,Ryu-Ge,1,0.1%,Dinosaur,2,0.3%,B.E.S.,2,0.1%,Gren Maju,1,0.1%,Ghoti,2,0.2%,Runick,3,0.2%
Phantom Knights,2,0.3%,Mannadium,2,0.2%,Time Thief,4,0.3%,True Draco,2,0.2%,Traptrix,2,0.2%,Phantasm Spiral,4,0.3%,Raidraptor,2,0.2%,Eldlich,2,0.2%,Mimighoul,2,0.2%,Gravekeeper,1,0.1%,Red-Eyes,1,0.1%,Paleozoic,2,0.1%,Endymion,1,0.1%,Six Samurai,2,0.2%,Galaxy Photon,3,0.2%
Penguin,2,0.3%,SPYRAL,2,0.2%,Marincess,4,0.3%,Dracoslayer,2,0.2%,Dinosaur,2,0.2%,Dark Magician,4,0.3%,Vaalmonica,2,0.2%,Drytron,2,0.2%,Synchron,2,0.2%,P.U.N.K.,1,0.1%,World Legacy,1,0.1%,Ogdoadic,2,0.1%,World Legacy,1,0.1%,Penguin,2,0.2%,Megalith,3,0.2%
