                               Blue-Eyes:   819 (6.57%)
                               Stromberg:     1 (0.01%)
                           Gate Guardian:     1 (0.01%)
                   Despia Thunder Dragon:     1 (0.01%)
                         Despia Shaddoll:     1 (0.01%)
                           Destiny Board:     1 (0.01%)
                            Noble Knight:     1 (0.01%)
                                 G Golem:     1 (0.01%)
                               Spellbook:     1 (0.01%)
                      Melffy Tri-Brigade:     1 (0.01%)
                         Auroradon Combo:     1 (0.01%)
                           Starry Knight:     1 (0.01%)
                               Metalfoes:     1 (0.01%)
                       Mayakashi Eldlich:     1 (0.01%)
                            Sacred Beast:     1 (0.01%)
                                   Kozmo:     1 (0.01%)
                            Witchcrafter:     1 (0.01%)
                                    Watt:     1 (0.01%)
                          Aero Shark FTK:     1 (0.01%)
                                Darklord:     1 (0.01%)
                                 S-Force:     1 (0.01%)
                     Speedroid Windwitch:     1 (0.01%)
                       Symphonic Warrior:     1 (0.01%)
                          Heraldic Beast:     1 (0.01%)
                     Prediction Princess:     1 (0.01%)
                                Shiranui:     1 (0.01%)
                    Lunalight Raidraptor:     1 (0.01%)
                           Cyberse Combo:     1 (0.01%)
