                               Snake-Eye:   706 (6.03%)
                               Gren Maju:     1 (0.01%)
                           Burning Abyss:     1 (0.01%)
                                   Alien:     1 (0.01%)
                      Melffy Tri-Brigade:     1 (0.01%)
                             Aquaactress:     1 (0.01%)
                                  Heroic:     1 (0.01%)
                             Super Quant:     1 (0.01%)
                          Heraldic Beast:     1 (0.01%)
                  Advanced Crystal Beast:     1 (0.01%)
                                 Meklord:     1 (0.01%)
           Subterror Amazement Dogmatika:     1 (0.01%)
                            Koa'ki Meiru:     1 (0.01%)
                                   Scrap:     1 (0.01%)
                                Megalith:     1 (0.01%)
                                  Rokket:     1 (0.01%)
                             Morphtronic:     1 (0.01%)
                              Batteryman:     1 (0.01%)
                           Destiny Board:     1 (0.01%)
                              Chronomaly:     1 (0.01%)
                                  Fabled:     1 (0.01%)
                               Tindangle:     1 (0.01%)
